bibliotheque,region_administrative,population_desservie,categorie_bibliotheque,modalites_abonnement,visites_total,prets_total,usagers_inscrits_total,activites_total,depenses_fonctionnement_total
Beauharnois,16: Montérégie,14745,Publique relevant directement d'une municipalité,Gratuite,25233,62520,2742,31,821699.71
Boucherville,16: Montérégie,41726,Publique relevant directement d'une municipalité,Gratuite,200545,462481,13564,250,2929790.05
Brossard,16: Montérégie,95066,Publique relevant directement d'une municipalité,Gratuite,728889,506639,35105,809,5222227.01
CRSBP de la Montérégie,16: Montérégie,139302,NA,NA,101326,461646,18515,1165,2146255
Chambly,16: Montérégie,31692,Publique relevant directement d'une municipalité,Gratuite,59080,266939,15894,146,2983231.43
Châteauguay,16: Montérégie,52320,Publique relevant directement d'une municipalité,Gratuite,148326,194970,12189,244,2214385.01
Coteau-du-Lac,16: Montérégie,7681,Publique relevant directement d'une municipalité,Gratuite,85947,56462,1679,30,398454.6
Cowansville,16: Montérégie,18382,Publique relevant directement d'une municipalité,Gratuite,41843,120113,7470,312,936916.27
Farnham,16: Montérégie,10848,Publique relevant directement d'une municipalité,Gratuite,NA,46937,2740,27,284400.62
L'Île-Perrot,16: Montérégie,11678,Publique relevant directement d'une municipalité,Gratuite,39087,48374,4938,244,412148.52
La Prairie,16: Montérégie,27015,Publique relevant directement d'une municipalité,Gratuite,63001,155124,5447,258,930353.13
Les Coteaux,16: Montérégie,5938,Publique relevant directement d'une municipalité,Gratuite,18184,23518,876,29,208801.72
Les Cèdres,16: Montérégie,7226,Publique relevant directement d'une municipalité,Gratuite,22580,36794,1485,93,538921.38
Marieville,16: Montérégie,11778,Publique relevant directement d'une municipalité,Gratuite,41699,60240,3632,74,454474.76
McMasterville,16: Montérégie,6097,Publique relevant directement d'une municipalité,Gratuite,7324,26442,1585,9,140994
Mont-Saint-Hilaire,16: Montérégie,28443,Publique relevant directement d'une municipalité,Gratuite,129822,183433,6779,221,1282876.77
Pincourt,16: Montérégie,15095,Publique relevant directement d'une municipalité,Gratuite,NA,76180,7535,39,457335.96
Richelieu,16: Montérégie,5872,Publique relevant directement d'une municipalité,Gratuite,10466,21330,864,18,174342.52
Saint-Amable,16: Montérégie,13796,Publique relevant directement d'une municipalité,Gratuite,NA,68849,8946,83,598995.39
Saint-Basile-le-Grand,16: Montérégie,17302,Publique relevant directement d'une municipalité,Gratuite,52108,167082,4200,83,941148.05
Saint-Constant,16: Montérégie,31311,Publique relevant directement d'une municipalité,Gratuite,119227,212734,9944,174,907737
Saint-Césaire,16: Montérégie,6129,Publique relevant directement d'une municipalité,Gratuite,3929,8761,974,24,178247.74
Saint-Jean-sur-Richelieu,16: Montérégie,99494,Publique relevant directement d'une municipalité,Gratuite,561835,695986,27898,92,4631374.49
Saint-Lazare,16: Montérégie,28303,Publique relevant directement d'une municipalité,Gratuite,80790,122341,11132,83,754038.95
Saint-Philippe,16: Montérégie,8290,Publique relevant directement d'une municipalité,Gratuite,NA,45753,4488,60,361709.05
Saint-Rémi,16: Montérégie,9684,Publique relevant directement d'une municipalité,Gratuite,NA,53498,2074,91,487665.43
Saint-Zotique,16: Montérégie,10245,Publique relevant directement d'une municipalité,Gratuite,30612,51105,3469,22,506484.3
Sainte-Julie,16: Montérégie,30413,Publique relevant directement d'une municipalité,Gratuite,257835,408079,12308,405,1917655.1
Sainte-Martine,16: Montérégie,5734,Publique relevant directement d'une municipalité,Gratuite,9410,18735,1735,33,218019.54
Sorel-Tracy,16: Montérégie,42411,Publique relevant directement d'une municipalité,Gratuite,71118,310385,10854,510,1687900.33
Vaudreuil-Dorion,16: Montérégie,45442,Publique relevant directement d'une municipalité,Gratuite,163667,324935,9778,308,2569120.69
Verchères,16: Montérégie,5776,Autre : bibliothèque municipale-scolaire (primaire),Gratuite,19586,26740,1398,35,263818.37
Drummondville,17: Centre-du-Québec,82790,Publique relevant directement d'une municipalité,Gratuite,990276,631009,50890,428,3375711.73
Nicolet,17: Centre-du-Québec,8726,Publique relevant directement d'une municipalité,Gratuite,11804,31318,1557,45,318866.06
Princeville,17: Centre-du-Québec,6334,Publique relevant directement d'une municipalité,Gratuite,8275,26241,1276,186,272920.15
Victoriaville,17: Centre-du-Québec,53782,Publique relevant directement d'une municipalité,Gratuite,153128,349578,9735,154,2351799.78
Bibliothèque et Archives nationales du Québec -  Grande Bibliothèque,NA,NA,Autre : Bibliothèque nationale et publique,Gratuite,13623237,5451255,517090,1783,54879378
