date,station_id,station_name,contaminant,n_heures_valides,moyenne,mediane,p95,maximum,source_year
2025-08-03,10200,Radisson,PM2.5-T640,24,6.875,4.601,16.446,16.474,2025
2025-08-06,10200,Radisson,PM2.5-T640,24,3.783,3.844,5.345,6.897,2025
2025-08-09,10200,Radisson,PM2.5-T640,24,8.511,8.546,11.485,11.661,2025
2025-08-12,10200,Radisson,PM2.5-T640,24,6.166,5.008,13.3,13.87,2025
2025-08-15,10200,Radisson,PM2.5-T640,24,5.49,3.324,10.874,11.149,2025
2025-08-18,10200,Radisson,PM2.5-T640,24,0.928,0.909,1.368,2.641,2025
2025-08-21,10200,Radisson,PM2.5-T640,24,1.14,1.146,1.91,2.041,2025
2025-08-25,10200,Radisson,PM2.5-T640,24,1.85,2.009,2.471,2.562,2025
2025-08-28,10200,Radisson,PM2.5-T640,24,2.899,2.853,4.17,4.331,2025
2025-08-31,10200,Radisson,PM2.5-T640,24,1.593,1.573,2.676,2.918,2025
2025-09-03,10200,Radisson,PM2.5-T640,24,3.374,3.336,4.158,4.429,2025
2025-09-06,10200,Radisson,PM2.5-T640,24,2.326,2.394,3.903,4.011,2025
2025-09-09,10200,Radisson,PM2.5-T640,24,3.652,3.798,4.269,4.297,2025
2025-09-12,10200,Radisson,PM2.5-T640,24,3.383,3.303,5.555,5.677,2025
2025-09-15,10200,Radisson,PM2.5-T640,24,1.347,1.286,2.634,2.644,2025
2025-09-18,10200,Radisson,PM2.5-T640,24,1.97,2.26,3.666,3.807,2025
2025-09-21,10200,Radisson,PM2.5-T640,24,2.481,2.414,3.068,3.138,2025
2025-09-24,10200,Radisson,PM2.5-T640,24,2.456,2.465,2.616,2.675,2025
2025-09-27,10200,Radisson,PM2.5-T640,24,3.689,3.733,5.483,5.537,2025
2025-09-30,10200,Radisson,PM2.5-T640,24,1.047,0.76,2.394,2.466,2025
2025-10-03,10200,Radisson,PM2.5-T640,24,3.78,3.029,7.248,7.665,2025
2025-10-06,10200,Radisson,PM2.5-T640,24,3.487,2.553,7.546,8.074,2025
2025-10-09,10200,Radisson,PM2.5-T640,24,1.146,1.175,1.565,1.897,2025
2025-10-12,10200,Radisson,PM2.5-T640,24,2.527,2.689,2.863,2.933,2025
2025-10-16,10200,Radisson,PM2.5-T640,24,0.935,0.609,2.078,2.289,2025
2025-10-19,10200,Radisson,PM2.5-T640,24,3.726,3.537,5.752,6.078,2025
2025-10-22,10200,Radisson,PM2.5-T640,24,0.82,0.74,1.377,1.842,2025
2025-10-25,10200,Radisson,PM2.5-T640,24,2.1,2.038,3.932,4.463,2025
2025-10-28,10200,Radisson,PM2.5-T640,24,2.582,2.668,3.204,3.267,2025
2025-10-31,10200,Radisson,PM2.5-T640,24,1.177,1.112,2.269,2.273,2025
2025-11-03,10200,Radisson,PM2.5-T640,24,0.593,0.476,1.191,1.317,2025
2025-11-06,10200,Radisson,PM2.5-T640,24,1.872,1.676,3.194,3.387,2025
2025-11-09,10200,Radisson,PM2.5-T640,24,0.713,0.594,1.652,1.731,2025
2025-11-12,10200,Radisson,PM2.5-T640,24,0.242,0.209,0.439,0.487,2025
2025-11-15,10200,Radisson,PM2.5-T640,24,0.356,0.333,0.565,0.565,2025
2025-11-18,10200,Radisson,PM2.5-T640,24,0.098,0.074,0.283,0.418,2025
2025-11-21,10200,Radisson,PM2.5-T640,24,1.079,1.103,2.566,2.971,2025
2025-11-24,10200,Radisson,PM2.5-T640,24,1.563,1.351,2.319,2.507,2025
2025-11-27,10200,Radisson,PM2.5-T640,24,0.096,0.098,0.166,0.194,2025
2025-11-30,10200,Radisson,PM2.5-T640,24,0.644,0.6,1.04,1.491,2025
2025-12-03,10200,Radisson,PM2.5-T640,24,1.571,1.284,3.154,3.264,2025
2025-12-07,10200,Radisson,PM2.5-T640,24,1.053,1.099,1.495,1.537,2025
2025-12-10,10200,Radisson,PM2.5-T640,24,0.972,0.97,1.162,1.177,2025
2025-12-13,10200,Radisson,PM2.5-T640,24,1.082,0.965,1.959,2.126,2025
2025-12-16,10200,Radisson,PM2.5-T640,24,1.519,1.522,2.532,2.598,2025
2025-12-19,10200,Radisson,PM2.5-T640,24,1.07,0.994,1.636,1.667,2025
2025-12-22,10200,Radisson,PM2.5-T640,24,1.883,1.86,2.764,2.896,2025
2025-12-25,10200,Radisson,PM2.5-T640,24,0.915,0.844,1.356,1.486,2025
2025-12-28,10200,Radisson,PM2.5-T640,24,0.489,0.468,0.663,0.811,2025
2025-12-31,10200,Radisson,PM2.5-T640,24,14.846,13.019,32.774,33.841,2025
