stop_id,stop_code,stop_name,stop_description,wheelchair_boarding,wheelchair_boarding_label,stop_url,access_date
1-3580,3580,de Châteaubourg,Saint-Samuel / de Châteaubourg,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3580,2026-09-05
1-3618,3618,Félix,Saint-Samuel / Félix,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3618,2026-09-05
1-3675,3675,Ste-Anne/3675,Sainte-Anne / face au 3505,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3675,2026-09-05
1-3723,3723,Malraux,Pellan / Malraux,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3723,2026-09-05
1-3763,3763,St-Michel/3763,Seigneuriale / Saint-Michel,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3763,2026-09-05
1-3810,3810,Seign./3810,Sainte-Thérèse / Seigneuriale,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3810,2026-09-05
1-3862,3862,A.-Viau/3862,de l'Auvergne / A.-Viau Nord,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3862,2026-09-05
1-3940,3940,Montérégiennes,Adanac / des Montérégiennes,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3940,2026-09-05
1-3995,3995,de Chamonix/3995,de Chamonix / au 1220,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3995,2026-09-05
1-4052,4052,de l'Isère,de l'Atrium / de l'Isère,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4052,2026-09-05
1-4096,4096,A.-Dion,Verret / A.-Dion,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4096,2026-09-05
1-4146,4146,R.-St-Laurent,de la R.-Nelson / R.-Saint-Laurent,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4146,2026-09-05
1-4188,4188,Centre St-Louis,Racine / face au 270,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4188,2026-09-05
1-4228,4228,du Glorieux/4228,du Golf / du Glorieux,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4228,2026-09-05
1-4270,4270,Savard,du Moulin-des-Mères / Savard,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4270,2026-09-05
1-4309,4309,Durand,de l'Hôpital / Durand,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4309,2026-09-05
1-4352,4352,P.-Lelièvre/4352,Central / Père-Lelièvre,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4352,2026-09-05
1-4395,4395,Diderot,Chauveau Ouest / Diderot,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4395,2026-09-05
1-4432,4432,La Morille/4432,Latreille / La Morille,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4432,2026-09-05
1-4473,4473,J.-Crépeault,Claudel / J.-Crépeault,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4473,2026-09-05
1-4515,4515,Latulippe,Plante / Latulippe,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4515,2026-09-05
1-4560,4560,la Colline/4560,de la Colline / au 14828,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4560,2026-09-05
