no_bqma,hydronyme,description,type_station,type_suivi,annee,n_echant,iqbp_med,ptot_med_mgl,ntot_med_mgl
06210002,Rivière Mistassibi,MISTASSIBI AU PONT-ROUTE 169 À MISTASSINI,RR,8 mois,2018,24,96,0.007,0.155
02290007,Rivière Trois Saumons,"TROIS-SAUMONS, RIVE DROITE 50 M EN AMONT DU PONT-ROUTE 132 À SAINT-JEAN-PORT-JOLI",RR,8 mois,2019,23,82,0.009,0.27
03020081,Rivière Saint-François,SAINT-FRANÇOIS AU PONT-ROUTE 243 À RICHMOND (CÔTÉ OUEST),RR,8 mois,2019,22,68,0.027,0.66
04010002,Rivière du Nord,"DU NORD AU PONT-ROUTE 344 À SAINT-ANDRÉ-D'ARGENTEUIL; MÉTAUX : RIVE DROITE, 100 M EN AVAL",RR,12 mois,2019,35,58,0.032,1.05
05030113,Rivière des Envies,DES ENVIES AU PONT À LA DÉCHARGE DU LAC TRAVERSE PRÈS DE SAINTE-THÈCLE,RR,8 mois,2019,24,78,0.008,0.165
05290001,Petite rivière Yamachiche,"PETITE RIVIÈRE YAMACHICHE, AU PONT DE LA RUE EMMANUEL AU SUD-OUEST DE YAMACHICHE; MÉTAUX : RIVE DROITE, 50 M EN AVAL DU PONT DE LA RUE GÉLINAS",RR,12 mois,2019,35,2,0.105,4.2
01170022,Rivière Cabano,CABANO AU PONT-ROUTE 232 À 4 KM AU NORD DE SAINT-EUSÈBE,RR,6 mois,2020,20,90,0.005,0.16
02F10001,Ruisseau des Bras,RUISSEAU DU BRAS,AU,Autre,2020,5,22,0.155,0.875
03060001,Rivière Saint-Jacques,SAINT-JACQUES AU PONT DU BOULEVARD TASCHEREAU (ROUTE 134) À LA PRAIRIE,RR,12 mois,2020,32,0,0.074,1.7
04440002,Rivière Beaudette,BEAUDETTE AU PONT DU CHEMIN DE LA FRONTIÈRE (PONT-ROUTE 202/338) À RIVIÈRE-BEAUDETTE,RR,6 mois,2020,20,14,0.04,0.43
05250004,Ruisseau Saint-André,RUISSEAU SAINT-ANDRÉ,AU,Autre,2020,16,84,0.019,0.345
08010060,Rivière Bourlamaque,BOURLAMAQUE AU SUD-EST DE VAL-D'OR EN AMONT DU SITE EAST SULLIVAN MINES AU PONT DU CHEMIN EAST SULLIVAN; MÉTAUX : RIVE GAUCHE 5 M EN AMONT,RR,6 mois,2020,19,78,0.015,0.38
02340131,Rivière Noire,"NOIRE, AU PONT DU CHEMIN DU MOULIN PRÈS DE POINTE-SAINT-GILLES",RR,6 mois,2021,19,4,0.04,1.7
03030199,Rivière Yamaska,YAMASKA AU PONT DU CHEMIN LANGEVIN EN AVAL D'ADAMSVILLE (BROMONT),RR,6 mois,2021,21,41,0.031,1.3
04050001,Rivière Blanche,BLANCHE AU PONT-ROUTE 148 À L'OUEST DE THURSO,RR,6 mois,2021,21,56,0.03,0.21
05050010,Ruisseau Perreault,"RUISSEAU DU MOULIN, AU SUD DU BASSIN DE RÉTENTION",AU,Autre,2021,2,24,0.939,6.15
05290001,Petite rivière Yamachiche,"PETITE RIVIÈRE YAMACHICHE, AU PONT DE LA RUE EMMANUEL AU SUD-OUEST DE YAMACHICHE; MÉTAUX : RIVE DROITE, 50 M EN AVAL DU PONT DE LA RUE GÉLINAS",RR,8 mois,2021,29,0,0.12,5.9
01020001,Rivière du Petit Pabos,DU PETIT PABOS AU PONT DE LA ROUTE DE PETIT-PABOS À CHANDLER,RR,6 mois,2022,19,96,0.001,0.15
02400006,Rivière Bécancour,BÉCANCOUR AU PONT DU 10e RANG À LA SORTIE DU LAC WILLIAM,RR,6 mois,2022,23,46,0.018,0.51
03040075,Ruisseau au Castor,RUISSEAU AU CASTOR AU PONT DU CHEMIN DU MOULIN AU SUD DE PIKE RIVER PRÈS DE L'EMBOUCHURE,RR,12 mois,2022,46,23,0.15,1.65
04320008,Rivière des Mille Îles,DES MILLE ÎLES À L'USINE DE FILTRATION DE ROSEMÈRE À 2 KM EN AMONT DU PONT -ROUTE 335,RR,6 mois,2022,18,78,0.03,0.61
05220004,Rivière l'Assomption,"L'ASSOMPTION AU PONT-ROUTE 343 (BOULEVARD BRASSARD) À 0,6 KM EN AMONT DE LA OUAREAU À L'EST DE CRABTREE",RR,6 mois,2022,21,44,0.05,1.1
07050001,Rivière du Sault aux Cochons,"DU SAULT AUX COCHONS AU PONT-ROUTE 138 À FORESTVILLE; MÉTAUX, RIVE GAUCHE 15 M EN AMONT",RR,6 mois,2022,21,92,0.008,0.125
02330010,Rivière Etchemin,ETCHEMIN AU PONT DU 8e RANG AU SUD-EST DE SAINT-LUC,RR,12 mois,2023,31,94,0.005,0.24
03020434,Rivière Saint-Germain,SAINT-GERMAIN PRÈS DE DRUMMONDVILLE,AU,Autre,2023,18,49,0.032,1.7
04040001,Rivière de la Petite Nation,"DE LA PETITE NATION AU PONT-ROUTE 148 À PLAISANCE: MÉTAUX : RIVE DROITE, 75 M EN AMONT",RR,12 mois,2023,33,83,0.017,0.305
05080073,Rivière aux Pins,AUX PINS AU PONT DE LA ROUTE DE FOSSAMBAULT À FOSSAMBAULT-SUR-LE-LAC,RR,8 mois,2023,24,92,0.013,0.155
06200001,Rivière Ticouapé,TICOUAPÉ AU PONT-ROUTE 169 À SAINT-MÉTHODE,RR,8 mois,2023,23,28,0.056,0.645
02250002,Rivière du Loup,DU LOUP AU PONT DE LA ROUTE ENNIS AU SUD-OUEST DE SAINT-JOSEPH-DE-KAMOURASKA,RR,8 mois,2024,23,92,0.01,0.26
03020033,Rivière Saint-Germain,SAINT-GERMAIN AU PONT PRIVÉ DU TERRAIN DE GOLF À DRUMMONDVILLE,RR,8 mois,2024,24,40,0.05,2.05
03110004,Rivière Saint-Louis,SAINT-LOUIS AU PONT-ROUTE 236,AU,Autre,2024,19,31,0.085,0.81
05040116,Rivière Sainte-Anne,SAINTE-ANNE AU PONT DE LA ROUTE DES CASCADES AU NORD DE SAINTE-CHRISTINE,RR,8 mois,2024,24,93,0.012,0.23
06070006,Rivière à Mars,"À MARS AU PONT DU BOULEVARD DE LA GRANDE BAIE À LA BAIE; MÉTAUX : RIVE GAUCHE, 200 M EN AMONT DU PONT DE LA 6E RUE",RR,8 mois,2024,24,85,0.017,0.22
00000091,Fleuve Saint-Laurent,SAINT-LAURENT SOUS LE PONT LAVIOLETTE À TROIS-RIVIÈRES (RIVE NORD),RF,6 mois,2002,17,53,0.024,0.45
00000087,Fleuve Saint-Laurent,SAINT-LAURENT SOUS LA LIGNE D'HYDRO-QUÉBEC À TRACY (AU CENTRE),RF,6 mois,2004,18,7,0.016,0.47
00000078,Fleuve Saint-Laurent,SAINT-LAURENT À LA PRISE D'EAU DE MONTRÉAL (LASALLE),RF,12 mois,2006,36,89,0.01,0.395
00000072,Fleuve Saint-Laurent,CANAL DE BEAUHARNOIS AU PONT-ROUTE 132 À VALLEYFIELD,RF,12 mois,2008,36,91,0.007,0.405
00000072,Fleuve Saint-Laurent,CANAL DE BEAUHARNOIS AU PONT-ROUTE 132 À VALLEYFIELD,RF,12 mois,2010,36,90,0.007,0.445
00000082,Fleuve Saint-Laurent,SAINT-LAURENT À LA PRISE D'EAU DE SAINTE-FOY,RF,12 mois,2012,31,78,0.024,0.45
00000088,Fleuve Saint-Laurent,SAINT-LAURENT SOUS LA LIGNE D'HYDRO-QUÉBEC À TRACY (RIVE NORD),RF,6 mois,2014,17,50,0.025,0.55
00000094,Fleuve Saint-Laurent,SAINT-LAURENT AU PORT DE BÉCANCOUR (RIVE NORD),RF,6 mois,2016,18,68,0.017,0.395
00000097,Fleuve Saint-Laurent,"SAINT-LAURENT ENTRE REPENTIGNY ET VARENNES (RIVE NORD,VOIE MARITIME)",RF,6 mois,2018,18,85,0.018,0.36
00000107,Fleuve Saint-Laurent,SAINT-LAURENT DANS LE CHENAL SUD DE L'ÎLE D'ORLÉANS (RIVE NORD),RF,6 mois,2020,16,75,0.015,0.365
00000110,Fleuve Saint-Laurent,SAINT-LAURENT EN AMONT DE L'ÎLE SAINTE-THÉRÈSE (RIVE NORD),RF,6 mois,2022,17,88,0.011,0.3
00000143,Fleuve Saint-Laurent,SAINT-LAURENT EN FACE DE CAP-ROUGE (RIVE NORD),RF,8 mois,2024,24,62,0.026,0.39
