source_dataset,station_label,date,annee,mois_num,mois,jour,saison,max_temp,mean_temp
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2007-01-06,2007,1,January,6,Hiver,6,3.9
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2007-06-24,2007,6,June,24,Été,23.8,16.5
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2007-12-10,2007,12,December,10,Hiver,-9,-14.6
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2008-05-27,2008,5,May,27,Printemps,14.3,9.2
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2008-11-12,2008,11,November,12,Automne,4.5,0.4
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2009-04-30,2009,4,April,30,Printemps,18.6,8.9
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2009-10-16,2009,10,October,16,Automne,6.8,1.8
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2010-04-03,2010,4,April,3,Printemps,25.9,13.8
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2010-09-19,2010,9,September,19,Automne,18.9,13.2
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2011-03-07,2011,3,March,7,Printemps,-4.3,-10.1
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2011-08-23,2011,8,August,23,Été,19.8,14.3
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2012-02-08,2012,2,February,8,Hiver,-5.2,-14.5
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2012-07-26,2012,7,July,26,Été,25.4,20.9
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2013-01-11,2013,1,January,11,Hiver,-1.4,-7.5
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2013-06-29,2013,6,June,29,Été,16.9,14.4
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2013-12-15,2013,12,December,15,Hiver,-11.3,-13.1
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2014-06-02,2014,6,June,2,Été,26.2,18.2
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2014-11-18,2014,11,November,18,Automne,1,-2.1
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2015-05-06,2015,5,May,6,Printemps,20.1,10.3
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2015-10-22,2015,10,October,22,Automne,11.5,7
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2016-04-08,2016,4,April,8,Printemps,4.5,1.2
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2016-09-24,2016,9,September,24,Automne,14.1,7.9
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2017-03-12,2017,3,March,12,Printemps,-11.1,-15.1
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2017-08-28,2017,8,August,28,Été,24.1,14.9
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2018-02-13,2018,2,February,13,Hiver,-8.3,-13.9
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2018-08-01,2018,8,August,1,Été,27.9,20.9
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2019-01-17,2019,1,January,17,Hiver,-19,-23.4
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2019-07-05,2019,7,July,5,Été,29.4,22.7
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2019-12-21,2019,12,December,21,Hiver,-10.2,-13.7
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2020-06-07,2020,6,June,7,Été,19,13.9
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2020-11-23,2020,11,November,23,Automne,1.4,-0.1
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2021-05-11,2021,5,May,11,Printemps,9.3,6
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2021-10-27,2021,10,October,27,Automne,11.5,8.1
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2022-04-14,2022,4,April,14,Printemps,5.5,4
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2022-09-30,2022,9,September,30,Automne,16.6,8.6
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2023-03-18,2023,3,March,18,Printemps,2.2,-1.5
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2023-09-03,2023,9,September,3,Automne,25.9,20.7
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2024-02-19,2024,2,February,19,Hiver,-7.5,-12.2
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2024-08-06,2024,8,August,6,Été,23.2,16.8
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,2025-01-22,2025,1,January,22,Hiver,-13.4,-22.1
