lien_ecole_immeuble_id,NOM_OFFCL_ORGNS,NOM_IMM,municipalite,region_administrative,type_reseau_public,est_primaire,est_secondaire,nb_ordres_autorises
769302-783798,Centre d'éducation aux adultes et de la formation professionnelle Kajusivik,Établissement de détention d'Amos,Amos,Abitibi-Témiscamingue,Statut particulier,FALSE,FALSE,1
771057-771101,École des Trois-Saisons,"Trois-Saisons (édifice Lavictoire), des",Gatineau,Outaouais,Francophone,TRUE,FALSE,2
772032-772017,École de l'Amérique-Française,"Amérique-Française, de l'",Gatineau,Outaouais,Francophone,TRUE,FALSE,2
773021-773021,École du Sacré-Coeur,"Sacré-Coeur (Gatineau), du",Gatineau,Outaouais,Francophone,TRUE,FALSE,2
774307-774002,Centre d'éducation des adultes,Centre Saint-Joseph,Gracefield,Outaouais,Francophone,FALSE,FALSE,1
782010-782010,École Entre-Lacs,Entre-Lacs,Rouyn-Noranda,Abitibi-Témiscamingue,Francophone,TRUE,FALSE,2
783023-783076,École secondaire d'Amos,Pavillon La Forêt,Amos,Abitibi-Témiscamingue,Francophone,TRUE,TRUE,3
784007-784002,École institutionnelle Chanoine-Delisle,Pavillon Saint-Paul,Senneterre,Abitibi-Témiscamingue,Francophone,TRUE,FALSE,2
785001-785015,École Dagenais,Pavillon de Colombourg,Macamic,Abitibi-Témiscamingue,Francophone,TRUE,FALSE,1
791035-791035,École Bois-du-Nord,Bois-du-Nord,Baie-Comeau,Côte-Nord,Francophone,TRUE,FALSE,2
792047-792850,École Jean-du-Nord / Manikoutai,Centre de réadaptation de Sept-Îles,Sept-Îles,Côte-Nord,Francophone,FALSE,TRUE,1
801323-801001,Centre de formation générale des adultes de la Baie-James,Galinée,Matagami,Nord-du-Québec,Francophone,FALSE,FALSE,1
813029-813027,École des Découvertes,Des Découvertes,Saint-Siméon,Gaspésie–Îles-de-la-Madeleine,Francophone,TRUE,FALSE,2
821138-821038,École des Rayons-de-Soleil,"Rayons-de-Soleil, des",Saint-Damien-de-Buckland,Chaudière-Appalaches,Francophone,TRUE,FALSE,2
821329-821032,Centre d'éducation des adultes de Bellechasse,"Bon-Vent, du",Notre-Dame-Auxiliatrice-de-Buckland,Chaudière-Appalaches,Francophone,FALSE,FALSE,1
822036-822023,École institutionnelle Paul VI et du Saint-Nom-de-Marie,Du Saint-Nom-de-Marie,Sainte-Clotilde-de-Beauce,Chaudière-Appalaches,Francophone,TRUE,FALSE,2
823030-823030,École Notre-Dame de Lac-Etchemin,Notre-Dame de Lac-Etchemin,Lac-Etchemin,Chaudière-Appalaches,Francophone,TRUE,FALSE,2
