Description_infraction,Type_etablissement,Date_infraction,Date_jugement,Date_publication,Amende,SOC_NOM_ARTCL_INFRC,amende_num,ville_montreal,delai_infraction_jugement_jours
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT SERVICE RAPIDE,2023-10-11,2024-09-11,2024-09-11,3 750 $,NA,3750,TRUE,336
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2024-05-27,2025-02-06,2025-02-06,2 750 $,NA,2750,TRUE,255
"LES PERSONNES AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT DOIVENT NE PORTER AUCUN VERNIS A ONGLES, NI MONTRES, BAGUES, BOUCLES D'OREILLES OU AUTRES BIJOUX.",RESTAURANT,2023-10-30,2024-05-27,2024-05-27,500 $,PERSONNEL,500,TRUE,210
"A EXPLOITE UN LIEU VISE A L'ARTICLE 2.1.1, QUI N'ETAIT PAS EXEMPT DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES RONGEURS ET LES INSECTES OU DE LEURS EXCREMENTS.",RESTAURANT,2023-10-11,2024-05-06,2024-05-27,1 000 $,INSECTES RONGEURS EXCREMENTS,1000,FALSE,208
A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX ET LES EQUIPEMENTS SERVANT LA PREPARATION ET A L'ENTREPOSAGE DES PRODUITS N'ETAIENT PAS PROPRES.,REST. SERVICE RAPIDE,2024-02-22,2024-07-25,2024-08-08,750 $,INSALUBRITE,750,FALSE,154
A DETENU UN PRODUIT ALTERABLE A LA CHALEUR SANS LE REFROIDIR SANS RETARD OU SANS LE MAINTENIR CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4°C  JUSQU’A SA LIVRAISON AU CONSOMMATEUR.,RESTAURANT,2023-10-25,2024-02-20,2024-02-28,1 000 $,TEMPERATURE ALIMENTS ALTERABLES,1000,FALSE,118
"A EXPLOITE UN ETABLISSEMENT OU L'ON PREPARE, ENTREPOSE OU DETIENT DES PRODUITS EN VUE DE LA VENTE, SANS Y MAINTENIR LES LOCAUX ET LE MATERIEL PROPRE(S). (ETAT GENERALISE)",REST. SERVICE RAPIDE,2023-09-28,2024-11-25,2024-12-05,5 000 $,INSALUBRITE,5000,FALSE,424
"A EXPLOITE UN ETABLISSEMENT DONT LIEUX, LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION ET A L'ENTREPOSAGE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2023-11-29,2024-11-20,2024-11-22,500 $,INSALUBRITE,500,FALSE,357
A DETENU UN PRODUIT ALTERABLE A LA CHALEUR SANS LE REFROIDIR SANS RETARD OU SANS LE MAINTENIR CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4°C  JUSQU’A SA LIVRAISON AU CONSOMMATEUR.,RESTAURANT,2023-12-01,2024-04-17,2024-04-24,1 000 $,TEMPERATURE ALIMENTS ALTERABLES,1000,FALSE,138
"A EXPLOITE UN ETABLISSEMENT DONT LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES.",REST. SERVICE RAPIDE,2024-01-16,2025-01-24,2025-02-10,500 $,INSALUBRITE,500,FALSE,374
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2022-04-28,2023-11-17,2023-11-27,750 $,INSALUBRITE,750,FALSE,568
"A EXPLOITE UN ETABLISSEMENT OU DES PERSONNES, QUI SONT EN CONTACT AVEC LES PRODUITS OU AVEC LE MATERIEL ET LES EQUIPEMENTS EUX-MEMES EN CONTACT AVEC LES PRODUITS, NE S'ETAIENT PAS LAVEES LES MAINS ET AVANT-BRAS AVEC DE L'EAU CHAUDE ET DU SAVON LIQUIDE OU EN POUDRE DISPENSE PAR UN DISTRIBUTEUR, APRES AVOIR MANIPULE DES ALIMENTS CRUS.",RESTAURANT,2021-07-07,2023-11-01,2023-11-09,250 $,LAVAGE DES MAINS,250,FALSE,847
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2021-10-15,2023-04-18,2023-06-20,500 $,INSALUBRITE,500,FALSE,550
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS, LES MATERIAUX ET LES USTENSILES SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2022-01-11,2023-03-16,2023-04-12,750 $,INSALUBRITE,750,FALSE,429
"LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.",RESTAURANT,2023-06-29,2023-11-06,2023-11-06,1 000 $,INSALUBRITE,1000,TRUE,130
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT SERVICE RAPIDE,2022-09-09,2023-04-06,2023-04-06,2 000 $,NA,2000,TRUE,209
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2023-06-06,2024-07-26,2024-07-26,1 300 $,NA,1300,TRUE,416
"LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.",RESTAURANT,2022-06-07,2023-02-14,2023-02-14,800 $,INSALUBRITE,800,TRUE,252
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2023-02-15,2024-02-06,2024-02-06,3 200 $,NA,3200,TRUE,356
"LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.",RESTAURANT,2022-06-23,2023-05-04,2023-05-04,1 700 $,INSALUBRITE,1700,TRUE,315
"LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.",RESTAURANT,2023-05-03,2024-04-25,2024-04-25,1 800 $,INSALUBRITE,1800,TRUE,358
"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.",RESTAURANT,2023-01-19,2023-10-11,2023-10-11,2 200 $,TEMPERATURE DE CONSERVATION,2200,TRUE,265
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2023-09-20,2024-09-18,2024-09-18,1 000 $,NA,1000,FALSE,364
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2022-09-30,2023-09-25,2023-09-25,1 400 $,NA,1400,TRUE,360
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2022-12-29,2024-03-07,2024-03-07,1 500 $,NA,1500,TRUE,434
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2022-10-18,2023-04-04,2023-04-04,2 500 $,NA,2500,TRUE,168
"LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.",RESTAURANT,2023-02-10,2024-04-03,2024-04-03,3 500 $,INSALUBRITE,3500,TRUE,418
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2022-11-18,2023-12-13,2023-12-13,4 300 $,NA,4300,TRUE,390
"LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.",RESTAURANT,2023-04-25,2023-12-19,2023-12-19,1 000 $,INSALUBRITE,1000,TRUE,238
"LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.",RESTAURANT,2022-08-23,2023-10-23,2023-10-23,900 $,INSALUBRITE,900,FALSE,426
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2023-02-15,2024-02-01,2024-02-01,3 000 $,NA,3000,FALSE,351
LE PRODUIT PERISSABLE VENDU CHAUD OU SERVI CHAUD AU CONSOMMATEUR DOIT ETRE GARDE A UNE TEMPERATURE INTERNE D'AU MOINS 60C JUSQU'A SA LIVRAISON.,RESTAURANT,2022-01-20,2023-06-05,2023-06-05,1 500 $,TEMPERATURE DE CONSERVATION,1500,TRUE,501
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2022-09-15,2023-12-08,2023-12-08,1 200 $,NA,1200,TRUE,449
"LES PERSONNES AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT DOIVENT: PORTER UN BONNET OU UNE RESILLE PROPRE QUI RECOUVRE ENTIEREMENT LES CHEVEUX: PORTER UN COUVRE-BARBE PROPRE QUI RECOUVRE ENTIEREMENT LA BARBE.",RESTAURANT,2022-06-08,2023-06-08,2023-06-08,600 $,PERSONNEL,600,FALSE,365
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2023-02-16,2023-11-15,2023-11-15,2 500 $,NA,2500,TRUE,272
"LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.",RESTAURANT,2022-10-18,2023-10-30,2023-10-30,800 $,INSALUBRITE,800,TRUE,377
"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.",RESTAURANT,2023-06-02,2024-05-27,2024-05-27,1 400 $,TEMPERATURE DE CONSERVATION,1400,TRUE,360
"LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.",RESTAURANT,2022-08-17,2023-10-30,2023-10-30,3 500 $,INSALUBRITE,3500,TRUE,439
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2023-03-09,2023-11-06,2023-11-06,3 000 $,NA,3000,TRUE,242
"NUL NE PEUT, SANS ETRE TITULAIRE D'UN PERMIS EN VIGUEUR, EXPLOITER UN LIEU OU UN VEHICULE OU EST EXERCEE L'ACTIVITE DE RESTAURATEUR.",RESTAURANT SERVICE RAPIDE,2022-05-18,2023-06-09,2023-06-09,10 000 $,NA,10000,TRUE,387
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2023-05-04,2024-09-20,2024-09-20,2 000 $,NA,2000,TRUE,505
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2022-02-10,2023-10-10,2023-10-10,5 000 $,NA,5000,TRUE,607
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2023-05-31,2024-04-11,2024-04-11,2 400 $,NA,2400,TRUE,316
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2022-05-06,2024-05-10,2024-05-10,2 300 $,NA,2300,TRUE,735
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2023-03-08,2024-04-03,2024-04-03,1 200 $,NA,1200,TRUE,392
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT SERVICE RAPIDE,2023-08-03,2024-02-27,2024-02-27,4 500 $,NA,4500,TRUE,208
"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.",RESTAURANT,2022-10-21,2023-09-21,2023-09-21,1 000 $,TEMPERATURE DE CONSERVATION,1000,TRUE,335
A DETENU UN PRODUIT ALTERABLE A LA CHALEUR SANS LE REFROIDIR SANS RETARD OU SANS LE MAINTENIR CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4°C  JUSQU’A SA LIVRAISON AU CONSOMMATEUR.,RESTAURANT,2022-06-14,2023-05-15,2023-05-25,1 000 $,TEMPERATURE ALIMENTS ALTERABLES,1000,FALSE,335
"A EXPLOITE UN LIEU, OU UNE OU DES PERSONNES, AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT, PORTAIENT DU VERNIS A ONGLES, UNE MONTRE, UNE BAGUE, UNE BOUCLE D'OREILLE OU AUTRE BIJOU.",RESTAURANT,2024-04-25,2024-05-16,2024-05-27,500 $,"BIJOUX, MONTRES, VERNIS A ONGLES",500,FALSE,21
A DETENU UN PRODUIT ALTERABLE A LA CHALEUR SANS LE REFROIDIR SANS RETARD OU SANS LE MAINTENIR CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4°C  JUSQU’A SA LIVRAISON AU CONSOMMATEUR.,RESTAURANT METS A EMPORTER,2022-04-07,2023-02-15,2023-02-21,1 000 $,TEMPERATURE ALIMENTS ALTERABLES,1000,FALSE,314
"A EXPLOITE UN LIEU, OU UNE OU DES PERSONNES, AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT, PORTAIENT DU VERNIS A ONGLES, UNE MONTRE, UNE BAGUE, UNE BOUCLE D'OREILLE OU AUTRE BIJOU.",RESTAURANT SERVICE RAPIDE,2023-03-09,2023-05-31,2023-06-20,500 $,"BIJOUX, MONTRES, VERNIS A ONGLES",500,FALSE,83
A DETENU UN PRODUIT ALTERABLE A LA CHALEUR SANS LE REFROIDIR SANS RETARD OU SANS LE MAINTENIR CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4°C  JUSQU’A SA LIVRAISON AU CONSOMMATEUR.,RESTAURANT,2024-05-08,2024-06-12,2024-06-17,1 000 $,TEMPERATURE ALIMENTS ALTERABLES,1000,FALSE,35
A DETENU UN PRODUIT ALTERABLE A LA CHALEUR SANS LE REFROIDIR SANS RETARD OU SANS LE MAINTENIR CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4°C  JUSQU’A SA LIVRAISON AU CONSOMMATEUR.,REST. SERVICE RAPIDE,2023-10-25,2024-04-10,2024-04-18,1 000 $,TEMPERATURE ALIMENTS ALTERABLES,1000,FALSE,168
"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.",RESTAURANT SERVICE RAPIDE,2023-07-07,2023-08-01,2023-08-01,1 000 $,TEMPERATURE DE CONSERVATION,1000,TRUE,25
