Description_infraction,Type_etablissement,Date_infraction,Date_jugement,Date_publication,Amende,SOC_NOM_ARTCL_INFRC,amende_num,ville_montreal,delai_infraction_jugement_jours
A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX ET LES EQUIPEMENTS SERVANT A LA PREPARATION ET A L'ENTREPOSAGE DES PRODUITS N'ETAIENT PAS PROPRES.,REST. SERVICE RAPIDE,2024-03-21,2024-09-09,2024-09-19,500 $,INSALUBRITE,500,FALSE,172
"A EXPLOITE UN LIEU, OU UNE OU DES PERSONNES, AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT, PORTAIENT DU VERNIS A ONGLES, UNE MONTRE, UNE BAGUE, UNE BOUCLE D'OREILLE OU AUTRE BIJOU.",REST. SERVICE RAPIDE,2023-07-24,2024-06-25,2024-07-11,500 $,"BIJOUX, MONTRES, VERNIS A ONGLES",500,FALSE,337
A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX ET LES EQUIPEMENTS SERVANT A LA PREPARATION ET A L'ENTREPOSAGE DES PRODUITS N'ETAIENT PAS PROPRES.,RESTAURANT,2024-04-10,2024-09-26,2024-10-04,500 $,INSALUBRITE,500,FALSE,169
A DETENU UN PRODUIT ALTERABLE A LA CHALEUR SANS LE REFROIDIR SANS RETARD OU SANS LE MAINTENIR CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4°C  JUSQU’A SA LIVRAISON AU CONSOMMATEUR.,RESTAURANT,2023-09-07,2023-10-11,2023-10-30,1 000 $,TEMPERATURE ALIMENTS ALTERABLES,1000,FALSE,34
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS, LES MATERIAUX ET LES USTENSILES SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2024-05-14,2024-09-11,2024-09-26,500 $,INSALUBRITE,500,FALSE,120
A DETENU UN PRODUIT ALTERABLE A LA CHALEUR SANS LE REFROIDIR SANS RETARD OU SANS LE MAINTENIR CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4°C  JUSQU’A SA LIVRAISON AU CONSOMMATEUR.,RESTAURANT,2024-01-17,2024-09-17,2024-10-07,1 000 $,TEMPERATURE ALIMENTS ALTERABLES,1000,FALSE,244
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX ET LES EQUIPEMENTS SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES.",REST. SERVICE RAPIDE,2024-07-23,2024-11-08,2024-11-18,500 $,INSALUBRITE,500,FALSE,108
"A EXPLOITE UN LIEU VISE A L'ARTICLE 2.1.1, QUI N'ETAIT PAS EXEMPT DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES RONGEURS ET LES INSECTES OU DE LEURS EXCREMENTS.",RESTAURANT,2022-10-12,2023-11-08,2023-11-20,1 000 $,INSECTES RONGEURS EXCREMENTS,1000,FALSE,392
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS ET LE MATERIEL SERVANT A LA PREPARATION ET A L'ENTREPOSAGE DES PRODUITS N'ETAIENT PAS PROPRES. (RECIDIVE)",RESTAURANT,2024-07-16,2024-10-22,2024-11-04,1 000 $,INSALUBRITE,1000,FALSE,98
"A EXPLOITE UN LIEU VISE A L'ARTICLE 2.1.1, QUI N'ETAIT PAS EXEMPT DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES RONGEURS ET LES INSECTES OU DE LEURS EXCREMENTS.",REST. SERVICE RAPIDE,2023-06-15,2024-01-15,2024-01-23,1 000 $,INSECTES RONGEURS EXCREMENTS,1000,FALSE,214
"A TITRE D EXPLOITANT VISE A L'ARTICLE 3.1, N A PAS UTILISE DES INSTALLATIONS EN BON ETAT DE FONCTIONNEMENT ENTRETENUES DE MANIERE A NE PAS CONTAMINER LES PRODUITS.",RESTAURANT,2024-07-17,2024-11-06,2024-11-08,500 $,UTILISATION MATERIEL OU INSTALLATIONS ADEQUATEMENT,500,FALSE,112
A DETENU UN PRODUIT ALTERABLE A LA CHALEUR SANS LE REFROIDIR SANS RETARD OU SANS LE MAINTENIR CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4°C  JUSQU’A SA LIVRAISON AU CONSOMMATEUR.,RESTAURANT,2023-09-18,2023-11-25,2023-12-01,1 000 $,TEMPERATURE ALIMENTS ALTERABLES,1000,FALSE,68
