code_sdr,nom_sdr,idugd,niveau_geo,qualite_geo,c1,symbole_c1,c58,symbole_c58,c63,symbole_c63,c64,symbole_c64,c65,symbole_c65,c68,symbole_c68,c69,symbole_c69,c70,symbole_c70,c78,symbole_c78,c86,symbole_c86,c89,symbole_c89,c97,symbole_c97,c126,symbole_c126,c127,symbole_c127,c128,symbole_c128,c1998,symbole_c1998,c1999,symbole_c1999,c2229,symbole_c2229
2405025,"Hope, Canton (municipalité de) (CT)",2021A00052405025,Subdivision de recensement,00000,584,,540,,0,,10,,5,,5,,35,,60,,175,,25,,580,,110,,540,,540,,39600,,545,,155,,41.3,
2405032,"Paspébiac, Ville (V)",2021A00052405032,Subdivision de recensement,00000,3033,,2690,,10,,95,,10,,25,,170,,255,,950,,170,,3020,,445,,2645,,2610,,43400,,2640,,730,,44.9,
2405040,"New Carlisle, Municipalité (MÉ)",2021A00052405040,Subdivision de recensement,00000,1336,,1175,,0,,35,,5,,20,,90,,100,,380,,80,,1290,,215,,1145,,1125,,35700,,1145,,305,,37.1,
2405045,"Bonaventure, Ville (V)",2021A00052405045,Subdivision de recensement,00000,2733,,2365,,5,,90,,15,,30,,155,,185,,775,,105,,2680,,510,,2315,,2300,,45920,,2315,,405,,50.1,
2405050,"Saint-Elzéar, Municipalité (MÉ)",2021A00052405050,Subdivision de recensement,00000,464,,390,,0,,20,,0,,0,,15,,30,,145,,15,,455,,60,,375,,375,,38400,,375,,160,,50.7,
2405055,"Saint-Siméon, Paroisse (municipalité de) (PE)",2021A00052405055,Subdivision de recensement,00000,1207,,1050,,0,,45,,10,,10,,60,,65,,365,,45,,1205,,190,,1085,,1080,,44300,,1085,,220,,55.3,
2405060,"Caplan, Municipalité (MÉ)",2021A00052405060,Subdivision de recensement,00000,1966,,1730,,5,,90,,15,,20,,90,,140,,580,,75,,1880,,315,,1605,,1580,,41240,,1605,,370,,48.3,
2405065,"Saint-Alphonse, Municipalité (MÉ)",2021A00052405065,Subdivision de recensement,00000,711,,595,,0,,20,,5,,10,,20,,40,,215,,15,,710,,95,,565,,555,,39600,,565,,115,,47.8,
2405070,"New Richmond, Ville (V)",2021A00052405070,Subdivision de recensement,00000,3683,,3155,,5,,145,,25,,45,,185,,210,,1090,,175,,3595,,600,,3070,,3025,,44120,,3070,,720,,48.7,
2405077,"Cascapédia--Saint-Jules, Municipalité (MÉ)",2021A00052405077,Subdivision de recensement,00000,764,,620,,0,,20,,0,,10,,40,,45,,230,,40,,760,,120,,660,,655,,40700,,660,,155,,48.5,
2405902,"Rivière-Bonaventure, Non organisé (NO)",2021A00052405902,Subdivision de recensement,02999,59,,60,,0,,5,,0,,0,,0,,0,,15,,0,,60,,15,,,x,,x,,x,,x,,x,,x
2406005,"Maria, Municipalité (MÉ)",2021A00052406005,Subdivision de recensement,00000,2760,,2365,,5,,120,,15,,25,,160,,180,,760,,110,,2515,,385,,2155,,2120,,51000,,2155,,370,,50.8,
2406013,"Carleton-sur-Mer, Ville (V)",2021A00052406013,Subdivision de recensement,00000,4081,,3565,,10,,170,,30,,35,,265,,225,,1190,,155,,4035,,780,,3505,,3445,,44400,,3500,,600,,49.3,
2406020,"Nouvelle, Municipalité (MÉ)",2021A00052406020,Subdivision de recensement,00000,1782,,1515,,5,,70,,10,,10,,110,,90,,540,,70,,1760,,270,,1495,,1475,,43680,,1495,,335,,52.2,
2406025,"Escuminac, Municipalité (MÉ)",2021A00052406025,Subdivision de recensement,00000,575,,485,,5,,20,,0,,5,,40,,25,,170,,20,,575,,95,,470,,460,,43600,,470,,135,,38.3,
2406030,"Pointe-à-la-Croix, Municipalité (MÉ)",2021A00052406030,Subdivision de recensement,00000,1344,,1150,,0,,35,,5,,20,,105,,80,,385,,80,,1320,,235,,1125,,1100,,38600,,1125,,355,,45.8,
2406035,"Ristigouche-Partie-Sud-Est, Canton (municipalité de) (CT)",2021A00052406035,Subdivision de recensement,00909,170,,145,,0,,5,,0,,0,,5,,10,,55,,10,,170,,25,,130,,,x,,x,130,,35,,26.9,
2406040,"Saint-André-de-Restigouche, Municipalité (MÉ)",2021A00052406040,Subdivision de recensement,00909,154,,135,,0,,0,,0,,5,,10,,15,,45,,10,,155,,25,,130,,,x,,x,125,,45,,40,
2406045,"Matapédia, Municipalité (MÉ)",2021A00052406045,Subdivision de recensement,00000,566,,520,,5,,25,,5,,5,,35,,60,,160,,30,,545,,140,,495,,495,,38800,,495,,135,,42.4,
