x_m,y_m,ecart_c
-211672.5,320167.5,16.126869201660156
-211612.5,320167.5,12.991524696350098
-211552.5,320167.5,13.808764457702637
-211492.5,320167.5,16.266334533691406
-211432.5,320167.5,15.326166152954102
-211372.5,320167.5,14.637192726135254
-211312.5,320167.5,10.609816551208496
-211252.5,320167.5,15.243600845336914
-211192.5,320167.5,16.36075210571289
-211132.5,320167.5,16.156314849853516
-211072.5,320167.5,11.063679695129395
-211012.5,320167.5,11.568592071533203
-210952.5,320167.5,13.175885200500488
-210892.5,320167.5,16.34136962890625
-210832.5,320167.5,14.381280899047852
-210772.5,320167.5,11.887104034423828
-210712.5,320167.5,13.987910270690918
-210652.5,320167.5,10.266786575317383
-210592.5,320167.5,13.916712760925293
-210532.5,320167.5,13.435789108276367
-210472.5,320167.5,13.302785873413086
-210412.5,320167.5,13.677841186523438
-210352.5,320167.5,14.133054733276367
-210292.5,320167.5,13.599869728088379
-210232.5,320167.5,14.691060066223145
-210172.5,320167.5,12.724592208862305
-210112.5,320167.5,10.87964916229248
-210052.5,320167.5,11.29345703125
-209992.5,320167.5,8.002341270446777
-209932.5,320167.5,6.100310802459717
-209872.5,320167.5,8.507426261901855
-209812.5,320167.5,11.944284439086914
-209752.5,320167.5,13.193841934204102
-209692.5,320167.5,13.789565086364746
-209632.5,320167.5,14.800801277160645
-209572.5,320167.5,8.880149841308594
-209512.5,320167.5,6.7098612785339355
-209452.5,320167.5,9.58273983001709
-209392.5,320167.5,12.151256561279297
-209332.5,320167.5,8.637965202331543
-209272.5,320167.5,13.073648452758789
-209212.5,320167.5,14.735922813415527
-209152.5,320167.5,15.026625633239746
-209092.5,320167.5,14.275690078735352
-209032.5,320167.5,10.797836303710938
-208972.5,320167.5,11.69082260131836
-208912.5,320167.5,8.69766616821289
-208852.5,320167.5,8.219147682189941
-208792.5,320167.5,13.536256790161133
-208732.5,320167.5,11.175887107849121
-208672.5,320167.5,11.608121871948242
-208612.5,320167.5,13.093382835388184
-208552.5,320167.5,14.92895221710205
-208492.5,320167.5,13.876703262329102
-208432.5,320167.5,7.6063690185546875
-208372.5,320167.5,12.723831176757812
-208312.5,320167.5,15.186461448669434
-208252.5,320167.5,12.185826301574707
-208192.5,320167.5,14.963652610778809
